jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc
New Jersey (NJ),Individual,Income Tax-Nonresident Return,NJ-1040NR,http://www.state.nj.us/treasury/taxation/pdf/current/1040nr.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/1040nri.pdf,,,Y,Depends,4/15/2018,15th day of the fourth month following the close of the fiscal year,10/15/2018,"6 month ext; extension is automatic  with Fed ext for zero returns and if amount due, at least 80% of it was paid off; (if no Fed ext is filed, then ext form NJ-630 needs to be filed to obtain an ext for for both zero returns and for returns with payment due  satisfying the at least 80% requirement to be paid off - (see the return instructions for more detail)"
New York (NY),Individual,"Nonresident and Part-Year Resident
Income Tax Return ",IT-203 (NON-RESIDENT),https://www.tax.ny.gov/pdf/current_forms/it/it203.pdf?_ga=2.216956950.1824729858.1515595587-422374619.1515170541,https://www.tax.ny.gov/pdf/current_forms/it/it203i.pdf?_ga=2.225396762.1824729858.1515595587-422374619.1515170541,,,Y,,4/17/2018,"6/15/2018 is the date by which you must file your 2017 New York State income tax return if you qualify to file your federal income tax return on June 15, 2018, because:
1) you are a U.S. citizen or resident alien and live outside the U.S. and Puerto Rico and your main place of business or post of duty is outside the U.S. and Puerto Rico, or
2) you are in the military service outside the U.S. and Puerto Rico when your 2017 return is due. The time to pay your New York State, New York City and Yonkers income tax, and any New York State or local sales or use tax is similarly automatically extended. 
(SEE ADDITONAL EXCEPTIONS ON THEINSTRUCTIONS)",10/15/2018,6 month ext
New York (NY),Individual,INDIVIDUAL INCOME TAX RETURN,IT-201,https://www.tax.ny.gov/pdf/current_forms/it/it201_fill_in_2d.pdf,https://www.tax.ny.gov/pdf/current_forms/it/it201i.pdf?_ga=2.23944762.1824729858.1515595587-422374619.1515170541,,,Y,,4/17/2018,"6/15/2018 is the date by which you must file your 2017 New York State income tax return if you qualify to file your federal income tax return on June 15, 2018, because:
1) you are a U.S. citizen or resident alien and live outside the U.S. and Puerto Rico and your main place of business or post of duty is outside the U.S. and Puerto Rico, or
2) you are in the military service outside the U.S. and Puerto Rico when your 2017 return is due. The time to pay your New York State, New York City and Yonkers income tax, and any New York State or local sales or use tax is similarly automatically extended. 
(SEE ADDITONAL EXCEPTIONS ON THEINSTRUCTIONS)",10/15/2018,6 month ext
North Carolina (NC),Individual,INDIVIDUAL INCOME TAX RETURN,D-400,https://files.nc.gov/ncdor/documents/files/2017_d-400_webfill.pdf?H8oYuS.8qxmD9eV9vjTpW3OWE.1QMwlm,https://files.nc.gov/ncdor/documents/files/2017_d-401_0.pdf?_1yW7DBUz_FrA0h_WE4WRXlR2e_7PGo9,,,Y,,4/17/2018,,10/15/2018,"If you are out of the country and unable to file your income tax return within the automatic 4 month_x000D_
extension period, an additional two month (2) extension may be obtained by filling in the circle at the_x000D_
bottom right of Form D-410. To receive the additional 2 month extension, file Form D-410 by August_x000D_
15, 2018."
North Dakota (ND),Individual,INDIVIDUAL INCOME TAX RETURN,ND-1,http://www.nd.gov/tax/data/upfiles/media/form-nd-1.pdf?20180108081133,http://www.nd.gov/tax/data/upfiles/media/individual-income-tax-booklet.pdf?20180108081102,,,,,4/17/2018,,10/15/2018,
Pennsylvania (PA),Individual,Income Tax Return,PA-40,http://www.revenue.pa.gov/FormsandPublications/FormsforIndividuals/PIT/Documents/2016/2016_pa-40.pdf,http://www.revenue.pa.gov/FormsandPublications/FormsforIndividuals/PIT/Documents/2016/2016_pa-40in.pdf,,,Y,,4/15/2018,null,10/15/2018,
Pennsylvania (PA),Individual,Nonresident Consolidated Income Tax Return,PA-40 NRC,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-40nrc.pdf,http://www.zillionforms.com/2016/I703080955.PDF,,,Y,,4/15/2018,null,10/15/2018,
California (CA),LLC,Limited Liability Company Return of Income ,568,https://www.ftb.ca.gov/forms/2017/17_568.pdf#,https://www.ftb.ca.gov/forms/2017/17_568bk.pdf,,,Yes,Depends,3/15/2018,15th day of the 3rd month following the close of the taxable year - for LLC's classified as Partnerships,10/15/2018,"7 months - For taxable years beginning on or after January 1, 2017, the extension period for a limited liability company (LLC) classified as a partnership to file its tax return has changed from six months to seven months"
Indiana (IN),LLC,"Limited Liability Company: If the LLC qualifies under IRS guidelines, it may be taxed only once. Like a partnership at the employee or member level, LLCs do not face the same restrictions as an S Corporation. One of the following forms would need to be filed in Indiana: ","IT-40, IT-40PNR or IT-65",,,,,,,4/15/2018,15th day of the 4th month following close of the taxable year,,
New Jersey (NJ),LLC,Partnership Return,NJ-1065,http://www.state.nj.us/treasury/taxation/pdf/current/part/1065part.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/part/1065i.pdf,,,y,Depends,4/15/2018,15th day of the fourth month after the end of the tax year,9/15/2018,5 month extension
